country_comtrade,year,flow,partner,comtrade_value_musd,imf_value_musd,country,abs_diff_musd,symmetric_pct_diff,log_ratio,within_tolerance
Samoa,2022,export,aus,2.570964585,2.503065109,Samoa,-0.06789947600000001,-2.676353119505414,-0.026765128896621006,True
Samoa,2022,export,world,43.65086084400001,41.58014297,Samoa,-2.0707178740000103,-4.8590718901280265,-0.04860028274727863,True
Samoa,2022,import,aus,39.661992925999996,30.92806625,Samoa,-8.733926675999996,-24.745486200044027,-0.24872930757091466,False
Samoa,2022,import,china,57.547090516000004,41.13579559,Samoa,-16.411294926000004,-33.260670767921894,-0.3357248967453091,False
Samoa,2022,import,world,446.675636204,439.9892883,Samoa,-6.686347904000002,-1.5082017387211615,-0.015082303285716218,True
Samoa,2023,export,aus,5.558765752999999,5.481586933,Samoa,-0.07717881999999943,-1.3981223642949017,-0.013981451397485583,True
Samoa,2023,export,world,42.923060746,42.4565506,Samoa,-0.4665101459999974,-1.0927905120333,-0.01092801387234001,True
Samoa,2023,import,aus,40.55966025,38.16796494,Samoa,-2.391695310000003,-6.075873123895008,-0.06077743312570125,False
Samoa,2023,import,china,60.300514698,47.45040512,Samoa,-12.850109578000001,-23.851507903050617,-0.2396555764698183,False
Samoa,2023,import,world,474.6180175,468.0750732,Samoa,-6.542944299999988,-1.3881388045692584,-0.013881610955918276,True
Solomon Islands,2015,export,aus,5.658646,5.658650875,Solomon Islands,4.875000000126306e-06,8.615131429299553e-05,8.61513142980702e-07,True
Solomon Islands,2015,export,china,232.210663,232.2106628,Solomon Islands,-2.000000165480742e-07,-8.612869626671834e-08,-8.612869310354697e-10,True
Solomon Islands,2015,export,world,400.40059,411.1689148,Solomon Islands,10.76832479999996,2.6537036535530407,0.026538594013455343,True
Solomon Islands,2015,import,aus,134.501401,131.6620789,Solomon Islands,-2.8393220999999755,-2.133517416489095,-0.021335983516036473,True
Solomon Islands,2015,import,china,49.136348,92.4250412,Solomon Islands,43.2886932,61.158898545197374,0.6317989045324592,False
Solomon Islands,2015,import,world,465.830219,437.1277771,Solomon Islands,-28.702441899999997,-6.35742571060222,-0.06359568236293899,False
